title,author,state,district,ban_type,origin,date,year,month
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,"Prager, Sarah",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Shopping Trip Trouble (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Another,"Robinson, Christian",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)","Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Same, Same But Different","Kostecki-Shaw, Jenny Sue",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Big Hair, Don't Care","Swain-Bates, Crystal",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Plants a Garden (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Jabari Jumps (Jabari Series),"Cornwall, Gaia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Peanut Goes for the Gold,"Van Ness, Jonathan",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Every Day Is Exciting (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
A is for Activist,"Nagara, Innosanto",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)","Florence, Debbi Michiko",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lulu and the Duck in the Park (Lulu Series),"McKay, Hilary",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Max and the Tag-Along Moon,"Cooper, Floyd",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Counting on Katherine: How Katherine Johnson Saved Apollo 13,"Becker, Helaine",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Faces at the Bottom of the Well: The Permanence of Racism,"Bell, Derrick",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ramadan Around The World,"Hassan, Ndaa",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,"Muhammad, Gholdy",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Monster Trouble!,"Fredrickson, Lane",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
How Many Stars in the Sky?,"Hort, Lenny",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
My Family Plays Music,"Cox, Judy",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)","Barnes, Derrick",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
White Fragility: Why It's So Hard for White People to Talk About Racism,"DiAngelo, Robin",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12","Hollie, Sharroky",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Alma and How She Got Her Name,"Martinez-Neal, Juana",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Trombone Shorty,"Andrews, Troy",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Chasing Space Young Readers' Edition,"Melvin, Leland",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
WeirDo Series: WeirDo,"Do, Anh",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Rap a Tap Tap: Here's Bojangles - Think of That!,"Dillon, Leo",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
African American Cowboys: True Heroes Of The Old West,"Fuerst, Jeffrey B.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Nelson Beats The Odds,"Sidney II, Ronnie",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore","Nelson, Vaunda Micheaux",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Leila in Saffron,"Guidroz, Rukhsanna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Story of Rap,"Sagar, Lindsey",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Librarian (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Marigold Mess (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Name Jar,"Choi, Yangsook",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
I'm a Pretty Little Black Girl!,"Bynum, Betty K.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),"Butler, Dori Hillestad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Loves Stories (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring,"Valenzuela, Angela",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
¿De Dónde Eres?/Where Are You From?,"Mendez, Yamile Saied",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)","Dumas, Marti",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
King & Kayla and the Case of the Missing Dog Treats (King & Kayla Series),"Butler, Dori Hillestad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
WeirDo Series: Hopping Weird!,"Do, Anh",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Grandpa Cacao: A Tale of Chocolate, from Farm to Family","Zunon, Elizabeth",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Encounter,"Yolen, Jane",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),"Parr, Todd",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Muffin Wars (Jaden Toussaint, the Greatest Series)","Dumas, Marti",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Spotlight on Coding Club! (Girls Who Code Series),"Schusterman, Michelle",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Come with Me,"McGhee, Holly M.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Maya Angelou? (Who was...? Series),"Labrecque, Ellen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Sunday Outing,"Pinkney, Gloria Jean",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Levine Meets Jelly and Bean (Lola Levine Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
An Indigenous Peoples' History of the United States,"Dunbar-Ortiz, Roxanne",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Cesar Chavez? (Who was...? Series),"Rau, Dana Meachen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
When Stars Are Scattered,"Jamieson, Victoria",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lovely,"Hong, Jess",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Catching the Moon: The Story of a Young Girl's Baseball Dream,"Hubbard, Crystal",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom","Lyiscott, Jamila",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)","Barnes, Derrick",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research","Sleeter, Christine E.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)","Dumas, Marti",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)","Beaty, Andrea",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English","Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Fry Bread: A Native American Family Story,"Maillard, Kevin Noble",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
IntersectionAllies: We Make Room for All,"Johnshon, Chelsea,",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
You Matter,"Robinson, Christian",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Say Something,"Reynolds, Peter H.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Are Venus and Serena Williams? (What was...? Series),"Buckley Jr., James",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,"Tatum, Beverly Daniel",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Is Derek Jeter? (Who was...? Series),"Herman, Gail",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Niño Wrestles the World (Niño Series),"Morales, Yuyi",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Clap When You Land,"Acevedo, Elizabeth",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Other Side,"Woodson, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Scientist (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
WeirDo Series: Splashy Weird!,"Do, Anh",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
WeirDo Series: Weirdomania!,"Do, Anh",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Hair Love,"Cherry, Matthew A.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Planet Omar: Epic Hero Flop (Planet Omar Series),"Mian, Zanib",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
WeirDo Series: Even Weirder!,"Do, Anh",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Condoleezza Rice: Being the Best (Gateway Biographies),"Wade, Mary Dodson",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Pink Is for Boys,"Pearlman, Robb",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Singing Superstar (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Smoky Night,"Bunting, Eve",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Fishing Day,"Pinkney, Andrea Davis",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Frida Kahlo? (Who was...? Series),"Fabiny, Sarah",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Amazing Grace (Grace Series),"Hoffman, Mary",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
